,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
18182,ABARROTES,01-ene,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/01/2021 15:41,RECIBO,3,3,1,72435,1,3,0,1.0,2
72625,ABARROTES,01-ene,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,31/01/2021 18:52,NOTA DE SALIDA,3,1,4,1533,25,2,0,2.0,0
150125,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,03/03/2021 13:36,NOTA DE ENTRADA,3,2,3,7896,6,0,10,0.0,10
152444,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/03/2021 12:06,RECIBO,3,3,1,89302,2,10,0,1.0,9
155110,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/03/2021 12:22,RECIBO,3,3,1,89716,1,9,0,1.0,8
163320,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/03/2021 11:24,RECIBO,3,3,1,90820,1,8,0,1.0,7
177237,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/03/2021 13:41,RECIBO,3,3,1,92530,1,7,0,1.0,6
178154,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/03/2021 09:38,RECIBO,3,4,1,48932,1,6,0,2.0,4
200164,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/03/2021 13:25,RECIBO,3,4,1,50553,1,4,0,1.0,3
201190,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/03/2021 19:19,RECIBO,3,3,1,95135,5,3,0,1.0,2
201631,ABARROTES,03-mar,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/03/2021 08:46,RECIBO,3,3,1,95199,1,2,0,2.0,0
271745,ABARROTES,04-abr,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,25/04/2021 13:01,NOTA DE ENTRADA,3,3,3,37604,1,0,1,0.0,1
271746,ABARROTES,04-abr,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/04/2021 13:01,RECIBO,3,3,1,103995,2,1,0,1.0,0
280096,ABARROTES,04-abr,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,28/04/2021 11:44,NOTA DE ENTRADA,3,4,3,22740,1,0,1,0.0,1
280097,ABARROTES,04-abr,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/04/2021 11:44,RECIBO,3,4,1,56133,1,1,0,1.0,0
328278,ABARROTES,05-may,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR AJUSTE DE INVENTARIO,16/05/2021 18:35,NOTA DE ENTRADA,3,1,3,4117,18,0,10,0.0,10
328479,ABARROTES,05-may,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA FORZADA,16/05/2021 18:38,NOTA DE SALIDA,3,1,4,1992,79,10,0,1.0,9
328484,ABARROTES,05-may,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA FORZADA,16/05/2021 18:38,NOTA DE SALIDA,3,1,4,1992,80,9,0,1.0,8
343673,ABARROTES,05-may,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/05/2021 19:35,RECIBO,3,3,1,112180,4,8,0,1.0,7
364467,ABARROTES,05-may,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,29/05/2021 09:23,RECIBO,3,3,1,114496,6,7,0,1.0,6
400881,ABARROTES,06-jun,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/06/2021 15:16,RECIBO,3,3,1,118740,4,6,0,1.0,5
408143,ABARROTES,06-jun,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/06/2021 10:20,RECIBO,3,4,1,66250,1,5,0,1.0,4
426009,ABARROTES,06-jun,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/06/2021 12:23,RECIBO,3,3,1,122004,1,4,0,1.0,3
438630,ABARROTES,06-jun,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,27/06/2021 18:51,NOTA DE SALIDA,3,1,4,2035,27,3,0,3.0,0
461772,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,06/07/2021 13:37,NOTA DE ENTRADA,3,5,3,8155,1,0,1,0.0,1
461773,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/07/2021 13:37,RECIBO,3,5,1,19663,2,1,0,1.0,0
486513,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,16/07/2021 13:43,NOTA DE ENTRADA,3,5,3,8376,56,0,1,0.0,1
486514,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/07/2021 13:43,RECIBO,3,5,1,20089,133,1,0,1.0,0
506403,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,24/07/2021 16:07,NOTA DE ENTRADA,3,3,3,47877,1,0,1,0.0,1
506404,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/07/2021 16:07,RECIBO,3,3,1,132514,7,1,0,1.0,0
521836,ABARROTES,07-jul,ABA0152,HARINA DE TRIGO TALPITA 1KG,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,31/07/2021 10:51,NOTA DE ENTRADA,3,2,3,12372,29,0,10,0.0,10
