,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
2876,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,04/01/2021 12:25,NOTA DE ENTRADA,3,2,3,6404,1,2,2,0.0,4
7436,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA,05/01/2021 14:29,NOTA DE SALIDA,3,1,4,1376,10,4,0,2.0,2
20344,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,11/01/2021 11:27,NOTA DE ENTRADA,3,2,3,6576,1,2,2,0.0,4
30789,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA,14/01/2021 14:52,NOTA DE SALIDA,3,1,4,1411,4,4,0,1.0,3
33453,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA,15/01/2021 13:48,NOTA DE SALIDA,3,1,4,1419,21,3,0,1.0,2
40099,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,18/01/2021 15:27,NOTA DE ENTRADA,3,1,3,2960,1,2,2,0.0,4
42300,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 11:08,RECIBO,3,4,1,40063,6,4,0,2.0,2
45551,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/01/2021 12:35,RECIBO,3,5,1,11607,2,2,0,1.0,1
55751,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,25/01/2021 09:43,NOTA DE ENTRADA,3,2,3,6897,1,1,2,0.0,3
57761,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/01/2021 14:35,RECIBO,3,3,1,77321,1,3,0,1.0,2
73126,FRUTAS Y VERDURAS,01-ene,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,31/01/2021 18:59,NOTA DE SALIDA,3,1,4,1533,489,2,0,1.0,1
85749,FRUTAS Y VERDURAS,02-feb,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA_,04/02/2021 14:01,NOTA DE SALIDA,3,1,4,1554,17,1,0,1.0,0
107547,FRUTAS Y VERDURAS,02-feb,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,15/02/2021 10:22,NOTA DE ENTRADA,3,2,3,7444,1,0,2,0.0,2
109260,FRUTAS Y VERDURAS,02-feb,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/02/2021 14:50,RECIBO,3,5,1,12842,28,2,0,1.0,1
133754,FRUTAS Y VERDURAS,02-feb,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA,25/02/2021 14:03,NOTA DE SALIDA,3,1,4,1662,6,1,0,1.0,0
143666,FRUTAS Y VERDURAS,03-mar,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,01/03/2021 11:19,NOTA DE ENTRADA,3,2,3,7804,1,0,2,0.0,2
146375,FRUTAS Y VERDURAS,03-mar,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,MERMA_,02/03/2021 10:46,NOTA DE SALIDA,3,2,4,2587,15,2,0,2.0,0
195859,FRUTAS Y VERDURAS,03-mar,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,23/03/2021 10:02,NOTA DE ENTRADA,3,2,3,8498,1,0,2,0.0,2
196035,FRUTAS Y VERDURAS,03-mar,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/03/2021 10:17,RECIBO,3,5,1,14503,2,2,0,1.0,1
196718,FRUTAS Y VERDURAS,03-mar,FYV0004,ACELGAS,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/03/2021 12:11,RECIBO,3,6,1,4874,10,1,0,1.0,0
