,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
624,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/01/2021 13:25,RECIBO,3,3,1,70182,4,37,0,1.0,36
927,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/01/2021 16:01,RECIBO,3,3,1,70250,5,36,0,1.0,35
955,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/01/2021 16:20,RECIBO,3,3,1,70257,3,35,0,1.0,34
1040,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/01/2021 17:17,RECIBO,3,3,1,70277,1,34,0,1.0,33
1076,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 09:26,RECIBO,3,3,1,70286,8,33,0,1.0,32
1159,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 11:00,RECIBO,3,3,1,70315,3,32,0,1.0,31
1502,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 14:22,RECIBO,3,3,1,70399,1,31,0,4.0,27
1527,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 14:38,RECIBO,3,3,1,70404,18,27,0,1.0,26
1537,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 14:39,RECIBO,3,3,1,70405,5,26,0,1.0,25
1637,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 08:19,RECIBO,3,3,1,70423,2,25,0,1.0,24
1911,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 09:25,RECIBO,3,3,1,70465,7,24,0,1.0,23
2030,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,04/01/2021 10:02,NOTA DE ENTRADA,3,2,3,6378,20,23,24,0.0,47
3866,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 13:00,RECIBO,3,4,1,37822,1,47,0,1.0,46
4323,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 14:03,RECIBO,3,4,1,37854,1,46,0,1.0,45
4554,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 14:35,RECIBO,3,3,1,70626,1,45,0,1.0,44
4568,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 14:40,RECIBO,3,3,1,70629,3,44,0,1.0,43
6933,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 13:01,RECIBO,3,3,1,70955,2,43,0,1.0,42
7710,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 15:36,RECIBO,3,3,1,71027,3,42,0,1.0,41
8308,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 07:59,RECIBO,3,3,1,71169,2,41,0,1.0,40
8539,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,06/01/2021 09:36,NOTA DE ENTRADA,3,2,3,6453,16,40,24,0.0,64
8818,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 09:46,RECIBO,3,4,1,38058,1,64,0,1.0,63
10018,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 13:26,RECIBO,3,3,1,71275,1,63,0,1.0,62
10278,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 14:11,RECIBO,3,4,1,38196,1,62,0,1.0,61
10521,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 15:20,RECIBO,3,3,1,71349,1,61,0,1.0,60
10533,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 15:22,RECIBO,3,3,1,71352,1,60,0,1.0,59
10621,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 16:16,RECIBO,3,3,1,71375,4,59,0,1.0,58
10973,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 20:49,RECIBO,3,3,1,71483,1,58,0,1.0,57
11193,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 08:45,RECIBO,3,3,1,71509,1,57,0,1.0,56
11958,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 11:22,RECIBO,3,4,1,38265,7,56,0,1.0,55
12652,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 13:34,RECIBO,3,4,1,38342,1,55,0,1.0,54
12792,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 13:56,RECIBO,3,4,1,38352,1,54,0,1.0,53
12821,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 14:01,RECIBO,3,3,1,71649,2,53,0,1.0,52
12847,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 14:06,RECIBO,3,5,1,11002,1,52,0,1.0,51
12936,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 14:27,RECIBO,3,3,1,71675,1,51,0,1.0,50
13319,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 16:03,RECIBO,3,3,1,71747,3,50,0,1.0,49
13439,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 17:42,RECIBO,3,3,1,71789,6,49,0,2.0,47
13853,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 08:38,RECIBO,3,3,1,71880,1,47,0,1.0,46
14031,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,08/01/2021 09:30,NOTA DE ENTRADA,3,2,3,6523,10,46,24,0.0,70
14317,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 10:51,RECIBO,3,4,1,38379,1,70,0,1.0,69
15318,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 13:01,RECIBO,3,4,1,38457,1,69,0,2.0,67
15410,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 13:22,RECIBO,3,3,1,72036,2,67,0,1.0,66
15821,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 14:50,RECIBO,3,3,1,72093,1,66,0,1.0,65
15828,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 14:52,RECIBO,3,3,1,72095,2,65,0,1.0,64
17809,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/01/2021 13:52,RECIBO,3,3,1,72381,5,64,0,2.0,62
18221,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/01/2021 16:14,RECIBO,3,3,1,72445,1,62,0,1.0,61
19014,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,10/01/2021 13:43,RECIBO,3,3,1,72652,3,61,0,1.0,60
19084,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,10/01/2021 14:09,RECIBO,3,3,1,72665,6,60,0,1.0,59
19233,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,10/01/2021 15:01,RECIBO,3,3,1,72693,3,59,0,2.0,57
19443,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 09:26,RECIBO,3,4,1,38717,1,57,0,1.0,56
21559,BEBIDAS,01-ene,BEB0015,COCA-COLA SIN AZéCAR 500 ML,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 13:20,RECIBO,3,3,1,72843,2,56,0,1.0,55
