,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
419966,BOTANA,06-jun,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,19/06/2021 13:00,NOTA DE ENTRADA,3,2,3,10996,1,0,4,0.0,4
485185,BOTANA,07-jul,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/07/2021 20:46,RECIBO,3,3,1,130096,5,4,0,1.0,3
504758,BOTANA,07-jul,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/07/2021 17:06,RECIBO,3,3,1,132240,3,3,0,1.0,2
515173,BOTANA,07-jul,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/07/2021 13:53,RECIBO,3,5,1,20664,1,2,0,1.0,1
518822,BOTANA,07-jul,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,30/07/2021 09:29,NOTA DE ENTRADA,3,2,3,12330,5,1,3,0.0,4
537142,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/08/2021 14:18,RECIBO,3,3,1,135640,5,4,0,1.0,3
569410,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,13/08/2021 08:36,NOTA DE ENTRADA,3,2,3,12784,2,3,1,0.0,4
576745,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,14/08/2021 16:45,RECIBO,3,3,1,139087,2,4,0,1.0,3
601503,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,21/08/2021 10:22,RECIBO,3,3,1,141599,5,3,0,1.0,2
603681,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/08/2021 11:45,RECIBO,3,4,1,78262,3,2,0,1.0,1
634368,BOTANA,08-ago,BOT0242,CRISPOP JALAPE¥O 145 GR LA PALOMERA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,29/08/2021 18:59,NOTA DE SALIDA,3,1,4,2064,287,1,0,1.0,0
