,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
20885,ESPECIAS,01-ene,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 11:42,RECIBO,3,4,1,38782,7,8,0,1.0,7
43853,ESPECIAS,01-ene,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/01/2021 17:19,RECIBO,3,4,1,40166,4,7,0,1.0,6
87834,ESPECIAS,02-feb,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/02/2021 12:23,RECIBO,3,3,1,80866,5,6,0,1.0,5
101450,ESPECIAS,02-feb,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/02/2021 11:10,RECIBO,3,3,1,82655,1,5,0,1.0,4
105253,ESPECIAS,02-feb,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,12/02/2021 15:58,RECIBO,3,3,1,83172,1,4,0,1.0,3
121602,ESPECIAS,02-feb,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/02/2021 14:28,RECIBO,3,3,1,85409,1,3,0,1.0,2
141332,ESPECIAS,03-mar,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,01/03/2021 08:29,NOTA DE SALIDA,3,1,4,1695,276,2,0,1.0,1
193917,ESPECIAS,03-mar,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/03/2021 12:56,RECIBO,3,5,1,14464,8,1,0,1.0,0
193966,ESPECIAS,03-mar,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,DEVOLUCION DE SALIDAS POR VENTA,22/03/2021 13:04,RECIBO DE DEVOLUCION,3,5,2,49,1,0,1,0.0,1
281259,ESPECIAS,04-abr,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/04/2021 14:32,RECIBO,3,4,1,56223,3,1,0,1.0,0
441646,ESPECIAS,06-jun,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,28/06/2021 12:28,NOTA DE ENTRADA,3,2,3,11251,2,0,12,0.0,12
449032,ESPECIAS,06-jun,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,30/06/2021 20:43,RECIBO,3,3,1,124920,5,12,0,1.0,11
516030,ESPECIAS,07-jul,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/07/2021 18:50,RECIBO,3,3,1,133884,4,11,0,1.0,10
582947,ESPECIAS,08-ago,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/08/2021 15:41,RECIBO,3,3,1,139508,12,10,0,1.0,9
587046,ESPECIAS,08-ago,ESP0045,AJO EN TROZO 75 GR TERANA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,17/08/2021 14:30,RECIBO,3,4,1,77658,2,9,0,1.0,8
