,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
6565,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,05/01/2021 11:59,NOTA DE ENTRADA,3,2,3,6442,5,3,1,0.0,4
16377,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 19:13,RECIBO,3,3,1,72221,2,4,0,1.0,3
17829,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/01/2021 13:58,RECIBO,3,4,1,38685,1,3,0,1.0,2
24211,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,12/01/2021 12:11,NOTA DE ENTRADA,3,2,3,6624,6,2,2,0.0,4
35350,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/01/2021 11:14,RECIBO,3,4,1,39715,7,4,0,1.0,3
45002,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,20/01/2021 10:32,NOTA DE ENTRADA,3,2,3,6841,4,3,1,0.0,4
53077,VINOS Y LICORES,01-ene,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/01/2021 10:10,RECIBO,3,3,1,76661,10,4,0,1.0,3
82376,VINOS Y LICORES,02-feb,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,03/02/2021 12:01,NOTA DE ENTRADA,3,2,3,7164,4,3,1,0.0,4
89002,VINOS Y LICORES,02-feb,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/02/2021 17:48,RECIBO,3,4,1,42738,2,4,0,1.0,3
111109,VINOS Y LICORES,02-feb,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,16/02/2021 11:48,NOTA DE ENTRADA,3,2,3,7499,4,3,1,0.0,4
134341,VINOS Y LICORES,02-feb,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/02/2021 16:50,RECIBO,3,3,1,87165,4,4,0,1.0,3
134469,VINOS Y LICORES,02-feb,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/02/2021 17:47,RECIBO,3,3,1,87191,15,3,0,1.0,2
147994,VINOS Y LICORES,03-mar,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,02/03/2021 18:00,RECIBO,3,3,1,88728,8,2,0,2.0,0
149779,VINOS Y LICORES,03-mar,VYL0143,VINO ROSADO 750 ML PUNTA DEL CIELO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,03/03/2021 12:45,NOTA DE ENTRADA,3,2,3,7894,2,0,3,0.0,3
