,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
1385,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/01/2021 13:07,RECIBO,3,3,1,70362,1,9,0,1.0,8
3689,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/01/2021 12:41,RECIBO,3,3,1,70560,6,8,0,2.0,6
6328,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 11:07,RECIBO,3,3,1,70888,1,6,0,1.0,5
6646,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,05/01/2021 12:11,RECIBO,3,3,1,70920,2,5,0,1.0,4
9975,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/01/2021 13:16,RECIBO,3,4,1,38165,2,4,0,1.0,3
12617,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 13:29,RECIBO,3,3,1,71631,3,3,0,1.0,2
15719,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 14:27,RECIBO,3,4,1,38505,3,2,0,1.0,1
19790,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 10:21,RECIBO,3,3,1,72755,2,1,0,1.0,0
21267,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,11/01/2021 12:36,NOTA DE ENTRADA,3,2,3,6588,17,0,8,0.0,8
23943,PANADERIA Y REPORTERIA,01-ene,PYR0018,PAN MOLIDO CLASICO 210 GR BIMBO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,12/01/2021 11:17,RECIBO,3,5,1,11130,2,8,0,1.0,7
