,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
96533,CERVEZAS,02-feb,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,09/02/2021 12:14,NOTA DE ENTRADA,3,2,3,7312,3,0,6,0.0,6
131180,CERVEZAS,02-feb,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/02/2021 15:10,RECIBO,3,3,1,86760,1,6,0,1.0,5
131603,CERVEZAS,02-feb,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/02/2021 18:45,RECIBO,3,3,1,86847,7,5,0,1.0,4
151004,CERVEZAS,03-mar,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/03/2021 18:12,RECIBO,3,3,1,89105,5,4,0,1.0,3
164788,CERVEZAS,03-mar,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/03/2021 18:47,RECIBO,3,3,1,91049,3,3,0,1.0,2
164836,CERVEZAS,03-mar,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/03/2021 19:15,RECIBO,3,3,1,91063,10,2,0,1.0,1
164837,CERVEZAS,03-mar,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/03/2021 19:15,RECIBO,3,3,1,91063,11,1,0,1.0,0
234684,CERVEZAS,04-abr,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,09/04/2021 13:25,NOTA DE ENTRADA,3,2,3,9024,3,0,5,0.0,5
234707,CERVEZAS,04-abr,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,09/04/2021 13:28,NOTA DE ENTRADA,3,2,3,9025,3,5,5,0.0,10
289329,CERVEZAS,05-may,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,01/05/2021 19:49,RECIBO,3,3,1,106216,4,10,0,1.0,9
325429,CERVEZAS,05-may,CER0012,CERVEZA ARTESANAL LAGER 355 GR ZORRA,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,14/05/2021 19:19,RECIBO,3,3,1,110504,6,9,0,2.0,7
