,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
38972,HELADOS,01-ene,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,18/01/2021 12:23,NOTA DE ENTRADA,3,2,3,6780,1,0,2,0.0,2
51901,HELADOS,01-ene,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/01/2021 18:35,RECIBO,3,3,1,76547,4,2,0,1.0,1
90964,HELADOS,02-feb,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,06/02/2021 17:22,RECIBO,3,3,1,81318,19,1,0,1.0,0
116398,HELADOS,02-feb,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,18/02/2021 12:24,NOTA DE ENTRADA,3,2,3,7559,1,0,2,0.0,2
117441,HELADOS,02-feb,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,18/02/2021 15:56,RECIBO,3,3,1,84670,16,2,0,1.0,1
141654,HELADOS,03-mar,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR AJUSTE DE INVENTARIO,01/03/2021 08:36,NOTA DE ENTRADA,3,1,3,3454,234,1,2,0.0,3
153313,HELADOS,03-mar,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,04/03/2021 16:26,RECIBO,3,3,1,89446,8,3,0,1.0,2
161960,HELADOS,03-mar,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/03/2021 19:26,RECIBO,3,4,1,47777,9,2,0,1.0,1
182842,HELADOS,03-mar,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,17/03/2021 12:24,NOTA DE ENTRADA,3,2,3,8326,1,1,2,0.0,3
220652,HELADOS,04-abr,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,03/04/2021 11:35,RECIBO,3,3,1,97858,4,3,0,1.0,2
239557,HELADOS,04-abr,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,12/04/2021 12:45,NOTA DE ENTRADA,3,2,3,9088,1,2,2,0.0,4
269381,HELADOS,04-abr,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/04/2021 20:00,RECIBO,3,3,1,103756,1,4,0,1.0,3
301593,HELADOS,05-may,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,06/05/2021 12:28,NOTA DE ENTRADA,3,1,3,4029,2,3,1,0.0,4
325548,HELADOS,05-may,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,14/05/2021 20:18,RECIBO,3,3,1,110531,7,4,0,1.0,3
328758,HELADOS,05-may,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR AJUSTE DE INVENTARIO,16/05/2021 18:42,NOTA DE SALIDA,3,1,4,1991,487,3,0,3.0,0
362815,HELADOS,05-may,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,28/05/2021 12:28,NOTA DE ENTRADA,3,2,3,10252,1,0,1,0.0,1
398152,HELADOS,06-jun,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,10/06/2021 17:37,RECIBO,3,3,1,118400,1,1,0,1.0,0
411841,HELADOS,06-jun,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA FORZADA,16/06/2021 12:43,NOTA DE ENTRADA,3,3,3,43243,1,0,2,0.0,2
411842,HELADOS,06-jun,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/06/2021 12:43,RECIBO,3,3,1,120051,2,2,0,2.0,0
439428,HELADOS,06-jun,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR AJUSTE DE INVENTARIO,27/06/2021 19:13,NOTA DE ENTRADA,3,1,3,4162,451,0,2,0.0,2
439629,HELADOS,06-jun,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA FORZADA,27/06/2021 19:54,NOTA DE SALIDA,3,1,4,2036,1275,2,0,2.0,0
464240,HELADOS,07-jul,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,07/07/2021 12:19,NOTA DE ENTRADA,3,2,3,11589,1,0,2,0.0,2
499848,HELADOS,07-jul,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,21/07/2021 20:51,RECIBO,3,3,1,131645,10,2,0,1.0,1
604020,HELADOS,08-ago,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/08/2021 13:54,RECIBO,3,4,1,78322,1,1,0,1.0,0
617029,HELADOS,08-ago,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,25/08/2021 13:28,NOTA DE ENTRADA,3,2,3,13187,1,0,2,0.0,2
635011,HELADOS,08-ago,HEL0032,HELADO CHOCOLATE 470 ML CIAO MOO,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR AJUSTE DE INVENTARIO,29/08/2021 19:06,NOTA DE ENTRADA,3,1,3,4205,235,2,2,0.0,4
