,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
491557,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,19/07/2021 13:03,NOTA DE ENTRADA,3,2,3,11940,2,0,4.4,0.0,4.4
492808,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/07/2021 15:33,RECIBO,3,3,1,130812,2,4.4,0,0.14,4.26
492941,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,19/07/2021 16:15,RECIBO,3,3,1,130839,2,4.26,0,0.3,3.96
495236,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/07/2021 10:45,RECIBO,3,6,1,6429,5,3.96,0,0.505,3.455
495246,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,DEVOLUCION DE SALIDAS POR VENTA,20/07/2021 10:55,RECIBO DE DEVOLUCION,3,6,2,173,5,3.455,0.505,0.0,3.96
495255,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/07/2021 10:57,RECIBO,3,6,1,6430,3,3.96,0,0.505,3.455
496408,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/07/2021 14:19,RECIBO,3,3,1,131111,16,3.455,0,0.565,2.89
496804,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,20/07/2021 16:09,RECIBO,3,3,1,131183,3,2.89,0,0.1,2.79
512646,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,27/07/2021 14:20,RECIBO,3,5,1,20600,4,2.79,0,0.54,2.25
514699,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/07/2021 12:21,RECIBO,3,4,1,74015,7,2.25,0,0.205,2.045
515530,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,28/07/2021 14:32,RECIBO,3,5,1,20685,4,2.045,0,0.35,1.695
518212,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,29/07/2021 15:39,RECIBO,3,3,1,134074,2,1.695,0,0.505,1.19
520559,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,30/07/2021 14:51,RECIBO,3,3,1,134322,9,1.19,0,0.25,0.94
521087,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,30/07/2021 18:08,RECIBO,3,3,1,134435,4,0.94,0,0.35,0.59
521331,LACTEOS Y EMBUTIDOS,07-jul,LYE0295,LOMO CANADIENCE MONTREAL,kg,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,30/07/2021 19:59,RECIBO,3,3,1,134494,5,0.59,0,0.15,0.44
