,Organizador,MES,CODIGO,Descripcion,U. M.,Establecimiento,Almacn,Movimiento,Fecha,Nombre Documento,Establecimiento2,Estaci¢n,Documento,Consecutivo,Consec. Mov.,Inicial,Entradas,Salidas,Actual
8913,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,06/01/2021 10:07,NOTA DE ENTRADA,3,2,3,6456,3,0,5,0.0,5
12857,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,07/01/2021 14:09,RECIBO,3,5,1,11003,3,5,0,1.0,4
16281,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,08/01/2021 18:17,RECIBO,3,3,1,72193,2,4,0,1.0,3
18354,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,09/01/2021 17:38,RECIBO,3,3,1,72479,1,3,0,1.0,2
20115,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 11:00,RECIBO,3,3,1,72774,1,2,0,1.0,1
20168,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,11/01/2021 11:08,RECIBO,3,3,1,72778,1,1,0,1.0,0
27016,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,13/01/2021 11:53,NOTA DE ENTRADA,3,2,3,6660,3,0,5,0.0,5
32734,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/01/2021 11:49,RECIBO,3,3,1,74260,1,5,0,1.0,4
34291,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,15/01/2021 17:22,RECIBO,3,3,1,74467,4,4,0,1.0,3
36672,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,16/01/2021 19:46,RECIBO,3,3,1,74772,1,3,0,1.0,2
40913,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,18/01/2021 16:01,RECIBO,3,3,1,75239,1,2,0,1.0,1
41232,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,18/01/2021 18:58,RECIBO,3,4,1,39985,9,1,0,1.0,0
46923,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,ENTRADA POR COMPRA,21/01/2021 07:57,NOTA DE ENTRADA,3,1,3,2985,3,0,5,0.0,5
51479,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,22/01/2021 14:47,RECIBO,3,3,1,76419,1,5,0,1.0,4
53800,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/01/2021 13:03,RECIBO,3,3,1,76746,1,4,0,1.0,3
54367,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,23/01/2021 16:43,RECIBO,3,3,1,76870,5,3,0,1.0,2
55186,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,24/01/2021 13:58,RECIBO,3,3,1,77079,10,2,0,1.0,1
56806,CIGARROS,01-ene,CIG0004,BENSON & HEDGES CRYSTALVIOLET 20 PZS ,pz,EL ALMACEN DE NOE COUNTRY,ALMACEN COUNTRY,SALIDA POR VENTA,25/01/2021 11:44,RECIBO,3,3,1,77200,3,1,0,1.0,0
